ticker,sector
TF513.SA,Unknown
TF565.SA,Unknown
TF575.SA,Unknown
TF585.SA,Unknown
TF493.SA,Unknown
AZUL95.SA,Unknown
TF475.SA,Unknown
TF573.SA,Unknown
TF519.SA,Unknown
SEQL1.SA,Unknown
TF665.SA,Unknown
TF485.SA,Unknown
TF593.SA,Unknown
TF553.SA,Unknown
TF523.SA,Unknown
TF655.SA,Unknown
TF603.SA,Unknown
TF583.SA,Unknown
TF533.SA,Unknown
TF483.SA,Unknown
TF473.SA,Unknown
TF503.SA,Unknown
TF543.SA,Unknown
TF681.SA,Unknown
TF563.SA,Unknown
PDGR3.SA,Real Estate
RENV11.SA,Unknown
R2AR34.SA,Unknown
N1TA34.SA,Technology
BGIP2.SA,Unknown
PEMA11.SA,Unknown
S2ED34.SA,Unknown
AZTE3.SA,Unknown
MRFG3.SA,Consumer Defensive
BRIM11.SA,Unknown
A1PA34.SA,Energy
PMFO11.SA,Unknown
H1PE34.SA,Technology
HPQB34.SA,Technology
A2RR34.SA,Unknown
LPSB3.SA,Real Estate
RCSL3.SA,Industrials
BRKM5.SA,Basic Materials
BRKM3.SA,Basic Materials
INTB3.SA,Technology
GGPS3.SA,Industrials
VAMO3.SA,Industrials
L1RC34.SA,Technology
CLOV34.SA,Unknown
SYNE3.SA,Real Estate
WGBA34.SA,Healthcare
IGTI4.SA,Real Estate
N1IC34.SA,Technology
I1PH34.SA,Communication Services
FSRF11.SA,Unknown
FNOR11.SA,Financial
RADL3.SA,Healthcare
BEDC39.SA,Unknown
W1BO34.SA,Communication Services
J2BL34.SA,Unknown
KEPL3.SA,Industrials
U2PS34.SA,Unknown
W2OL34.SA,Unknown
KLBN3.SA,Basic Materials
YDUQ3.SA,Consumer Defensive
JFEN3.SA,Real Estate
BQTC39.SA,Unknown
AVLL3.SA,Real Estate
H1CA34.SA,Healthcare
HOSI11.SA,Unknown
FRIO3.SA,Consumer Cyclical
DEXP4.SA,Basic Materials
VTRU3.SA,Consumer Defensive
E2NP34.SA,Unknown
A2MB34.SA,Unknown
BOTZ39.SA,Unknown
RSID3.SA,Consumer Cyclical
CASH3.SA,Communication Services
K1BF34.SA,Financial Services
RBOP11.SA,Unknown
TELB3.SA,Communication Services
ECOR3.SA,Industrials
RAIZ4.SA,Utilities
RNEW4.SA,Utilities
TRAD3.SA,Technology
C2RN34.SA,Unknown
JHSF3.SA,Real Estate
TEND3.SA,Real Estate
AALR3.SA,Healthcare
D1EL34.SA,Technology
BBFI11.SA,Real Estate
MRVE3.SA,Real Estate
MLAS3.SA,Technology
ZAVI11.SA,Unknown
USIM5.SA,Basic Materials
CMIN3.SA,Basic Materials
SANB11.SA,Financial Services
B2YN34.SA,Consumer Defensive
EZTC3.SA,Real Estate
ANIM3.SA,Consumer Defensive
AZZA3.SA,Consumer Cyclical
HBOR3.SA,Real Estate
F1SL34.SA,Technology
DXCO3.SA,Basic Materials
C1AB34.SA,Communication Services
PABY11.SA,Real Estate
LWSA3.SA,Technology
AMOB3.SA,Consumer Cyclical
ENJU3.SA,Consumer Cyclical
KLBN11.SA,Basic Materials
BPAC5.SA,Financial Services
RCSL4.SA,Industrials
SMTO3.SA,Basic Materials
T2TD34.SA,Technology
CNES11.SA,Unknown
VIVA3.SA,Consumer Cyclical
NTCO3.SA,Consumer Defensive
NGRD3.SA,Technology
ARML3.SA,Industrials
SANB3.SA,Financial Services
IGTI3.SA,Real Estate
SIMH3.SA,Industrials
BRAV3.SA,Energy
R2HH34.SA,Consumer Cyclical
BHIA3.SA,Consumer Cyclical
SBFG3.SA,Consumer Cyclical
PMAM3.SA,Basic Materials
I1QY34.SA,Communication Services
BIET39.SA,Unknown
MGEL4.SA,Basic Materials
GPRO34.SA,Technology
B1ME34.SA,Healthcare
RPAD3.SA,Industrials
P1DD34.SA,Consumer Cyclical
SEER3.SA,Consumer Defensive
PCAR3.SA,Consumer Cyclical
M1RN34.SA,Healthcare
CURY3.SA,Real Estate
N1XP34.SA,Technology
GMAT3.SA,Consumer Cyclical
USIM3.SA,Basic Materials
VBBR3.SA,Consumer Cyclical
IGTI11.SA,Real Estate
ROXO34.SA,Financial Services
BIOM3.SA,Healthcare
G2DI33.SA,Financial Services
E1XR34.SA,Real Estate
Z2IT34.SA,Unknown
SANB4.SA,Financial Services
CPLE6.SA,Utilities
DEXP3.SA,Basic Materials
AVGO34.SA,Technology
FSLR34.SA,Technology
RAIL3.SA,Industrials
BABA34.SA,Consumer Cyclical
SMFT9.SA,Unknown
TIMS3.SA,Communication Services
A2XO34.SA,Unknown
PLPL3.SA,Real Estate
ASAI3.SA,Consumer Defensive
CCRO3.SA,Industrials
RDOR3.SA,Healthcare
DESK3.SA,Communication Services
ENGI3.SA,Utilities
RECV3.SA,Energy
B3SA3.SA,Financial Services
UGPA3.SA,Energy
MULT3.SA,Real Estate
KLBN4.SA,Basic Materials
ECOO11.SA,Unknown
HCHG11.SA,Unknown
CYRE3.SA,Consumer Cyclical
PAGS34.SA,Technology
F1TN34.SA,Technology
IRBR3.SA,Financial Services
D1XC34.SA,Technology
BRFS3.SA,Consumer Defensive
ITSA4.SA,Industrials
CPLE3.SA,Utilities
AZEV4.SA,Industrials
FIND11.SA,Unknown
CTSA4.SA,Consumer Cyclical
EQTL9.SA,Unknown
PTBL3.SA,Industrials
SEQL3.SA,Industrials
L1UL34.SA,Consumer Cyclical
ITUB4.SA,Financial Services
COPN11.SA,Unknown
RPAD6.SA,Industrials
MATB11.SA,Unknown
PGMN3.SA,Healthcare
